,Store,ds,y,Size,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Date_dayofweek,Date_month,Date_year,Date_day,IsHoliday_label,Type_B,Type_C
2717,20,2010-02-05,2401395.47,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187,4,2,2010,5,0,0,0
3718,27,2010-02-05,1874289.79,204184,27.19,2.954,0.0,0.0,0.0,0.0,0.0,135.3524608,8.237,4,2,2010,5,0,0,0
5720,41,2010-02-05,1086533.18,196321,30.27,2.58,0.0,0.0,0.0,0.0,0.0,189.3816974,7.541,4,2,2010,5,0,0,0
429,4,2010-02-05,2135143.87,205863,43.76,2.598,0.0,0.0,0.0,0.0,0.0,126.4420645,8.623,4,2,2010,5,0,0,0
4290,31,2010-02-05,1469252.05,203750,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.7526053,8.324,4,2,2010,5,0,0,0
2145,16,2010-02-05,477409.3,57197,19.79,2.58,0.0,0.0,0.0,0.0,0.0,189.3816974,7.039,4,2,2010,5,0,1,0
1430,11,2010-02-05,1528008.6400000001,207499,46.04,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.368,4,2,2010,5,0,0,0
5005,36,2010-02-05,467546.74,39910,45.97,2.545,0.0,0.0,0.0,0.0,0.0,209.8529663,8.554,4,2,2010,5,0,0,0
5863,42,2010-02-05,543384.01,39690,54.34,2.962,0.0,0.0,0.0,0.0,0.0,126.4420645,9.765,4,2,2010,5,0,0,1
572,5,2010-02-05,317173.1,34875,39.7,2.572,0.0,0.0,0.0,0.0,0.0,211.6539716,6.566,4,2,2010,5,0,1,0
6006,43,2010-02-05,647029.28,41062,47.31,2.572,0.0,0.0,0.0,0.0,0.0,203.0642742,9.521,4,2,2010,5,0,0,1
4862,35,2010-02-05,1230613.5,103681,27.19,2.784,0.0,0.0,0.0,0.0,0.0,135.3524608,9.262,4,2,2010,5,0,1,0
3861,28,2010-02-05,1672352.29,206302,49.47,2.962,0.0,0.0,0.0,0.0,0.0,126.4420645,13.975,4,2,2010,5,0,0,0
715,6,2010-02-05,1652635.1,202505,40.43,2.572,0.0,0.0,0.0,0.0,0.0,212.6223518,7.259,4,2,2010,5,0,0,0
4576,33,2010-02-05,274593.43,39690,58.4,2.962,0.0,0.0,0.0,0.0,0.0,126.4420645,10.115,4,2,2010,5,0,0,0
6149,44,2010-02-05,281090.95,39910,31.53,2.666,0.0,0.0,0.0,0.0,0.0,126.4420645,8.119,4,2,2010,5,0,0,1
2431,18,2010-02-05,1205307.5,120653,21.33,2.788,0.0,0.0,0.0,0.0,0.0,131.5279032,9.202,4,2,2010,5,0,1,0
286,3,2010-02-05,461622.22,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.368,4,2,2010,5,0,1,0
1573,12,2010-02-05,1100046.37,112238,49.47,2.962,0.0,0.0,0.0,0.0,0.0,126.4420645,13.975,4,2,2010,5,0,1,0
4004,29,2010-02-05,538634.46,93638,24.36,2.788,0.0,0.0,0.0,0.0,0.0,131.5279032,10.064,4,2,2010,5,0,1,0
5577,40,2010-02-05,1001943.8,155083,14.48,2.788,0.0,0.0,0.0,0.0,0.0,131.5279032,5.892,4,2,2010,5,0,0,0
858,7,2010-02-05,496725.44,70713,10.53,2.58,0.0,0.0,0.0,0.0,0.0,189.3816974,9.014,4,2,2010,5,0,1,0
1859,14,2010-02-05,2623469.9499999997,200898,27.31,2.784,0.0,0.0,0.0,0.0,0.0,181.8711898,8.992,4,2,2010,5,0,0,0
1002,8,2010-02-12,994801.4,155078,33.34,2.548,0.0,0.0,0.0,0.0,0.0,214.6214189,6.299,4,2,2010,12,1,0,0
2003,15,2010-02-12,682447.1,123737,22.0,2.94,0.0,0.0,0.0,0.0,0.0,131.5866129,8.35,4,2,2010,12,1,1,0
6007,43,2010-02-12,682918.99,41062,47.99,2.548,0.0,0.0,0.0,0.0,0.0,203.2010968,9.521,4,2,2010,12,1,0,1
573,5,2010-02-12,311825.7,34875,39.81,2.548,0.0,0.0,0.0,0.0,0.0,211.8004698,6.566,4,2,2010,12,1,1,0
5435,39,2010-02-12,1266229.07,184109,44.58,2.548,0.0,0.0,0.0,0.0,0.0,209.9970208,8.554,4,2,2010,12,1,0,0
3576,26,2010-02-12,1015684.0900000001,152513,18.14,2.771,0.0,0.0,0.0,0.0,0.0,131.5866129,8.488,4,2,2010,12,1,0,0
4720,34,2010-02-12,994610.99,158114,36.13,2.573,0.0,0.0,0.0,0.0,0.0,126.4962581,9.521,4,2,2010,12,1,0,0
4577,33,2010-02-12,294882.83,39690,55.47,2.828,0.0,0.0,0.0,0.0,0.0,126.4962581,10.115,4,2,2010,12,1,0,0
859,7,2010-02-12,524104.92,70713,25.9,2.572,0.0,0.0,0.0,0.0,0.0,189.4642725,9.014,4,2,2010,12,1,1,0
1717,13,2010-02-12,2030933.46,219622,33.16,2.671,0.0,0.0,0.0,0.0,0.0,126.4962581,8.316,4,2,2010,12,1,0,0
5578,40,2010-02-12,955338.29,155083,20.84,2.771,0.0,0.0,0.0,0.0,0.0,131.5866129,5.892,4,2,2010,12,1,0,0
1574,12,2010-02-12,1117863.33,112238,47.87,2.946,0.0,0.0,0.0,0.0,0.0,126.4962581,13.975,4,2,2010,12,1,1,0
2575,19,2010-02-12,1536549.95,203819,23.22,2.94,0.0,0.0,0.0,0.0,0.0,131.5866129,8.35,4,2,2010,12,1,0,0
5292,38,2010-02-12,342214.9,39690,47.87,2.946,0.0,0.0,0.0,0.0,0.0,126.4962581,13.975,4,2,2010,12,1,0,1
1,1,2010-02-12,1641957.44,151315,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,4,2,2010,12,1,0,0
1145,9,2010-02-12,552677.48,125833,37.08,2.548,0.0,0.0,0.0,0.0,0.0,214.8056534,6.415,4,2,2010,12,1,1,0
144,2,2010-02-12,2137809.5,202307,38.49,2.548,0.0,0.0,0.0,0.0,0.0,210.8979935,8.324,4,2,2010,12,1,0,0
6293,45,2010-02-12,656988.64,118221,27.73,2.773,0.0,0.0,0.0,0.0,0.0,181.982317,8.992,4,2,2010,12,1,1,0
2718,20,2010-02-12,2109107.9,203742,22.12,2.773,0.0,0.0,0.0,0.0,0.0,204.3857472,8.187,4,2,2010,12,1,0,0
3719,27,2010-02-12,1745362.72,204184,29.81,2.94,0.0,0.0,0.0,0.0,0.0,135.4113076,8.237,4,2,2010,12,1,0,0
430,4,2010-02-12,2188307.39,205863,28.84,2.573,0.0,0.0,0.0,0.0,0.0,126.4962581,8.623,4,2,2010,12,1,0,0
4005,29,2010-02-12,529672.95,93638,28.14,2.771,0.0,0.0,0.0,0.0,0.0,131.5866129,10.064,4,2,2010,12,1,1,0
4291,31,2010-02-12,1543947.23,203750,37.77,2.548,0.0,0.0,0.0,0.0,0.0,210.8979935,8.324,4,2,2010,12,1,0,0
2432,18,2010-02-12,1187880.7,120653,26.41,2.771,0.0,0.0,0.0,0.0,0.0,131.5866129,9.202,4,2,2010,12,1,1,0
2146,16,2010-02-12,472044.27999999997,57197,20.87,2.572,0.0,0.0,0.0,0.0,0.0,189.4642725,7.039,4,2,2010,12,1,1,0
1431,11,2010-02-12,1574684.08,207499,48.01,2.548,0.0,0.0,0.0,0.0,0.0,214.5747916,7.368,4,2,2010,12,1,0,0
5006,36,2010-02-12,469563.7,39910,46.11,2.539,0.0,0.0,0.0,0.0,0.0,209.9970208,8.554,4,2,2010,12,1,0,0
5864,42,2010-02-12,575709.96,39690,49.96,2.828,0.0,0.0,0.0,0.0,0.0,126.4962581,9.765,4,2,2010,12,1,0,1
1860,14,2010-02-12,1704218.84,200898,27.73,2.773,0.0,0.0,0.0,0.0,0.0,181.982317,8.992,4,2,2010,12,1,0,0
2861,21,2010-02-12,809321.44,140167,37.77,2.548,0.0,0.0,0.0,0.0,0.0,210.8979935,8.324,4,2,2010,12,1,1,0
4434,32,2010-02-12,1123566.1199999999,203007,28.09,2.572,0.0,0.0,0.0,0.0,0.0,189.4642725,9.014,4,2,2010,12,1,0,0
5149,37,2010-02-12,529852.7,39910,46.11,2.548,0.0,0.0,0.0,0.0,0.0,209.9970208,8.554,4,2,2010,12,1,0,1
5721,41,2010-02-12,1075656.34,196321,23.04,2.572,0.0,0.0,0.0,0.0,0.0,189.4642725,7.541,4,2,2010,12,1,0,0
3433,25,2010-02-12,583364.02,128107,19.64,2.773,0.0,0.0,0.0,0.0,0.0,204.3857472,8.187,4,2,2010,12,1,1,0
2289,17,2010-02-12,841951.91,93188,18.36,2.671,0.0,0.0,0.0,0.0,0.0,126.4962581,6.548,4,2,2010,12,1,1,0
3004,22,2010-02-12,1022571.25,119557,28.14,2.771,0.0,0.0,0.0,0.0,0.0,135.4113076,8.283,4,2,2010,12,1,1,0
3862,28,2010-02-12,1558968.49,206302,47.87,2.946,0.0,0.0,0.0,0.0,0.0,126.4962581,13.975,4,2,2010,12,1,0,0
716,6,2010-02-12,1606283.8599999999,202505,40.57,2.548,0.0,0.0,0.0,0.0,0.0,212.7700425,7.259,4,2,2010,12,1,0,0
287,3,2010-02-12,420728.96,37392,47.93,2.548,0.0,0.0,0.0,0.0,0.0,214.5747916,7.368,4,2,2010,12,1,1,0
3147,23,2010-02-12,1380892.08,114533,18.75,2.771,0.0,0.0,0.0,0.0,0.0,131.5866129,5.892,4,2,2010,12,1,1,0
1288,10,2010-02-12,2176028.52,126512,49.96,2.828,0.0,0.0,0.0,0.0,0.0,126.4962581,9.765,4,2,2010,12,1,1,0
4148,30,2010-02-12,497374.57,42988,37.77,2.548,0.0,0.0,0.0,0.0,0.0,210.8979935,8.324,4,2,2010,12,1,0,1
3290,24,2010-02-12,1414107.1,203819,25.94,2.94,0.0,0.0,0.0,0.0,0.0,131.5866129,8.326,4,2,2010,12,1,0,0
6150,44,2010-02-12,286857.13,39910,33.16,2.671,0.0,0.0,0.0,0.0,0.0,126.4962581,8.119,4,2,2010,12,1,0,1
4863,35,2010-02-12,1168815.31,103681,29.81,2.773,0.0,0.0,0.0,0.0,0.0,135.4113076,9.262,4,2,2010,12,1,1,0
6294,45,2010-02-19,841264.04,118221,31.27,2.745,0.0,0.0,0.0,0.0,0.0,182.0347816,8.992,4,2,2010,19,0,1,0
4006,29,2010-02-19,542399.07,93638,31.96,2.747,0.0,0.0,0.0,0.0,0.0,131.637,10.064,4,2,2010,19,0,1,0
5722,41,2010-02-19,1052034.74,196321,24.13,2.55,0.0,0.0,0.0,0.0,0.0,189.5340998,7.541,4,2,2010,19,0,0,0
3720,27,2010-02-19,1945070.33,204184,32.44,2.909,0.0,0.0,0.0,0.0,0.0,135.4657781,8.237,4,2,2010,19,0,0,0
5865,42,2010-02-19,508794.87,39690,58.22,2.915,0.0,0.0,0.0,0.0,0.0,126.5262857,9.765,4,2,2010,19,0,0,1
2862,21,2010-02-19,867283.25,140167,39.75,2.514,0.0,0.0,0.0,0.0,0.0,210.9451605,8.324,4,2,2010,19,0,1,0
5007,36,2010-02-19,470281.03,39910,45.66,2.472,0.0,0.0,0.0,0.0,0.0,210.0451024,8.554,4,2,2010,19,0,0,0
2290,17,2010-02-19,800714.0,93188,25.06,2.654,0.0,0.0,0.0,0.0,0.0,126.5262857,6.548,4,2,2010,19,0,1,0
2433,18,2010-02-19,1150663.42,120653,30.91,2.747,0.0,0.0,0.0,0.0,0.0,131.637,9.202,4,2,2010,19,0,1,0
1289,10,2010-02-19,2113432.58,126512,58.22,2.915,0.0,0.0,0.0,0.0,0.0,126.5262857,9.765,4,2,2010,19,0,1,0
2147,16,2010-02-19,469868.7,57197,21.13,2.55,0.0,0.0,0.0,0.0,0.0,189.5340998,7.039,4,2,2010,19,0,1,0
6151,44,2010-02-19,267956.3,39910,35.7,2.654,0.0,0.0,0.0,0.0,0.0,126.5262857,8.119,4,2,2010,19,0,0,1
5150,37,2010-02-19,510382.5,39910,45.66,2.514,0.0,0.0,0.0,0.0,0.0,210.0451024,8.554,4,2,2010,19,0,0,1
431,4,2010-02-19,2049860.26,205863,36.45,2.54,0.0,0.0,0.0,0.0,0.0,126.5262857,8.623,4,2,2010,19,0,0,0
4292,31,2010-02-19,1473386.75,203750,39.75,2.514,0.0,0.0,0.0,0.0,0.0,210.9451605,8.324,4,2,2010,19,0,0,0
1432,11,2010-02-19,1503298.7,207499,48.3,2.514,0.0,0.0,0.0,0.0,0.0,214.6198868,7.368,4,2,2010,19,0,0,0
1575,12,2010-02-19,1095421.65,112238,54.83,2.915,0.0,0.0,0.0,0.0,0.0,126.5262857,13.975,4,2,2010,19,0,1,0
1861,14,2010-02-19,2204556.7,200898,31.27,2.745,0.0,0.0,0.0,0.0,0.0,182.0347816,8.992,4,2,2010,19,0,0,0
5293,38,2010-02-19,327237.92,39690,54.83,2.915,0.0,0.0,0.0,0.0,0.0,126.5262857,13.975,4,2,2010,19,0,0,1
3434,25,2010-02-19,676260.67,128107,24.16,2.745,0.0,0.0,0.0,0.0,0.0,204.4321004,8.187,4,2,2010,19,0,1,0
6008,43,2010-02-19,658997.55,41062,48.77,2.514,0.0,0.0,0.0,0.0,0.0,203.2479796,9.521,4,2,2010,19,0,0,1
860,7,2010-02-19,506760.54000000004,70713,27.28,2.55,0.0,0.0,0.0,0.0,0.0,189.5340998,9.014,4,2,2010,19,0,1,0
3291,24,2010-02-19,1385362.49,203819,31.05,2.909,0.0,0.0,0.0,0.0,0.0,131.637,8.326,4,2,2010,19,0,0,0
2576,19,2010-02-19,1515976.11,203819,28.57,2.909,0.0,0.0,0.0,0.0,0.0,131.637,8.35,4,2,2010,19,0,0,0
3577,26,2010-02-19,999348.55,152513,22.62,2.747,0.0,0.0,0.0,0.0,0.0,131.637,8.488,4,2,2010,19,0,0,0
4864,35,2010-02-19,1270658.64,103681,32.44,2.745,0.0,0.0,0.0,0.0,0.0,135.4657781,9.262,4,2,2010,19,0,1,0
2,1,2010-02-19,1611968.17,151315,39.93,2.514,0.0,0.0,0.0,0.0,0.0,211.2891429,8.106,4,2,2010,19,0,0,0
5436,39,2010-02-19,1230591.97,184109,43.96,2.514,0.0,0.0,0.0,0.0,0.0,210.0451024,8.554,4,2,2010,19,0,0,0
3148,23,2010-02-19,1319588.04,114533,26.7,2.747,0.0,0.0,0.0,0.0,0.0,131.637,5.892,4,2,2010,19,0,1,0
288,3,2010-02-19,421642.19,37392,47.07,2.514,0.0,0.0,0.0,0.0,0.0,214.6198868,7.368,4,2,2010,19,0,1,0
1146,9,2010-02-19,511327.9,125833,43.06,2.514,0.0,0.0,0.0,0.0,0.0,214.8506185,6.415,4,2,2010,19,0,1,0
1003,8,2010-02-19,963960.37,155078,39.1,2.514,0.0,0.0,0.0,0.0,0.0,214.6664878,6.299,4,2,2010,19,0,0,0
4149,30,2010-02-19,463513.26,42988,39.75,2.514,0.0,0.0,0.0,0.0,0.0,210.9451605,8.324,4,2,2010,19,0,0,1
4435,32,2010-02-19,1082559.06,203007,29.16,2.55,0.0,0.0,0.0,0.0,0.0,189.5340998,9.014,4,2,2010,19,0,0,0
4578,33,2010-02-19,296850.83,39690,62.16,2.915,0.0,0.0,0.0,0.0,0.0,126.5262857,10.115,4,2,2010,19,0,0,0
3863,28,2010-02-19,1491300.42,206302,54.83,2.915,0.0,0.0,0.0,0.0,0.0,126.5262857,13.975,4,2,2010,19,0,0,0
2004,15,2010-02-19,660838.75,123737,27.54,2.909,0.0,0.0,0.0,0.0,0.0,131.637,8.35,4,2,2010,19,0,1,0
574,5,2010-02-19,303447.57,34875,41.14,2.514,0.0,0.0,0.0,0.0,0.0,211.8471283,6.566,4,2,2010,19,0,1,0
3005,22,2010-02-19,988467.61,119557,31.96,2.747,0.0,0.0,0.0,0.0,0.0,135.4657781,8.283,4,2,2010,19,0,1,0
145,2,2010-02-19,2124451.54,202307,39.69,2.514,0.0,0.0,0.0,0.0,0.0,210.9451605,8.324,4,2,2010,19,0,0,0
4721,34,2010-02-19,983963.07,158114,38.36,2.54,0.0,0.0,0.0,0.0,0.0,126.5262857,9.521,4,2,2010,19,0,0,0
717,6,2010-02-19,1567138.07,202505,43.58,2.514,0.0,0.0,0.0,0.0,0.0,212.8161546,7.259,4,2,2010,19,0,0,0
1718,13,2010-02-19,1970274.64,219622,35.7,2.654,0.0,0.0,0.0,0.0,0.0,126.5262857,8.316,4,2,2010,19,0,0,0
5579,40,2010-02-19,916289.2000000001,155083,27.84,2.747,0.0,0.0,0.0,0.0,0.0,131.637,5.892,4,2,2010,19,0,0,0
2719,20,2010-02-19,2161549.7600000002,203742,25.43,2.745,0.0,0.0,0.0,0.0,0.0,204.4321004,8.187,4,2,2010,19,0,0,0
6152,44,2010-02-26,273079.07,39910,29.98,2.667,0.0,0.0,0.0,0.0,0.0,126.5522857,8.119,4,2,2010,26,0,0,1
289,3,2010-02-26,407204.86,37392,52.05,2.561,0.0,0.0,0.0,0.0,0.0,214.6475127,7.368,4,2,2010,26,0,1,0
1147,9,2010-02-26,473773.27,125833,43.83,2.561,0.0,0.0,0.0,0.0,0.0,214.8780453,6.415,4,2,2010,26,0,1,0
5008,36,2010-02-26,447519.44,39910,50.87,2.52,0.0,0.0,0.0,0.0,0.0,210.0771885,8.554,4,2,2010,26,0,0,0
1862,14,2010-02-26,2095591.63,200898,34.89,2.754,0.0,0.0,0.0,0.0,0.0,182.0774691,8.992,4,2,2010,26,0,0,0
1290,10,2010-02-26,2006774.96,126512,52.77,2.825,0.0,0.0,0.0,0.0,0.0,126.5522857,9.765,4,2,2010,26,0,1,0
1433,11,2010-02-26,1336404.65,207499,52.79,2.561,0.0,0.0,0.0,0.0,0.0,214.6475127,7.368,4,2,2010,26,0,0,0
5151,37,2010-02-26,513615.82,39910,50.87,2.561,0.0,0.0,0.0,0.0,0.0,210.0771885,8.554,4,2,2010,26,0,0,1
3435,25,2010-02-26,628516.5700000001,128107,29.16,2.754,0.0,0.0,0.0,0.0,0.0,204.4630869,8.187,4,2,2010,26,0,1,0
6009,43,2010-02-26,618702.79,41062,48.77,2.561,0.0,0.0,0.0,0.0,0.0,203.2798724,9.521,4,2,2010,26,0,0,1
2005,15,2010-02-26,564883.2000000001,123737,29.87,2.91,0.0,0.0,0.0,0.0,0.0,131.686,8.35,4,2,2010,26,0,1,0
3006,22,2010-02-26,899761.48,119557,35.98,2.753,0.0,0.0,0.0,0.0,0.0,135.5195191,8.283,4,2,2010,26,0,1,0
2863,21,2010-02-26,749597.24,140167,45.31,2.561,0.0,0.0,0.0,0.0,0.0,210.9759573,8.324,4,2,2010,26,0,1,0
4436,32,2010-02-26,1053247.1,203007,26.64,2.586,0.0,0.0,0.0,0.0,0.0,189.6018023,9.014,4,2,2010,26,0,0,0
3578,26,2010-02-26,855385.01,152513,27.32,2.753,0.0,0.0,0.0,0.0,0.0,131.686,8.488,4,2,2010,26,0,0,0
4579,33,2010-02-26,284052.77,39690,56.5,2.825,0.0,0.0,0.0,0.0,0.0,126.5522857,10.115,4,2,2010,26,0,0,0
432,4,2010-02-26,1925728.84,205863,41.36,2.59,0.0,0.0,0.0,0.0,0.0,126.5522857,8.623,4,2,2010,26,0,0,0
5294,38,2010-02-26,334222.73,39690,50.23,2.825,0.0,0.0,0.0,0.0,0.0,126.5522857,13.975,4,2,2010,26,0,0,1
4293,31,2010-02-26,1344354.41,203750,45.31,2.561,0.0,0.0,0.0,0.0,0.0,210.9759573,8.324,4,2,2010,26,0,0,0
5580,40,2010-02-26,863917.41,155083,33.32,2.753,0.0,0.0,0.0,0.0,0.0,131.686,5.892,4,2,2010,26,0,0,0
1719,13,2010-02-26,1817850.32,219622,29.98,2.667,0.0,0.0,0.0,0.0,0.0,126.5522857,8.316,4,2,2010,26,0,0,0
4722,34,2010-02-26,905756.13,158114,37.28,2.59,0.0,0.0,0.0,0.0,0.0,126.5522857,9.521,4,2,2010,26,0,0,0
575,5,2010-02-26,270281.63,34875,46.7,2.561,0.0,0.0,0.0,0.0,0.0,211.8771468,6.566,4,2,2010,26,0,1,0
1004,8,2010-02-26,847592.11,155078,37.91,2.561,0.0,0.0,0.0,0.0,0.0,214.6940735,6.299,4,2,2010,26,0,0,0
5437,39,2010-02-26,1168582.02,184109,49.79,2.561,0.0,0.0,0.0,0.0,0.0,210.0771885,8.554,4,2,2010,26,0,0,0
718,6,2010-02-26,1432953.21,202505,47.1,2.561,0.0,0.0,0.0,0.0,0.0,212.845337,7.259,4,2,2010,26,0,0,0
2577,19,2010-02-26,1373270.06,203819,30.33,2.91,0.0,0.0,0.0,0.0,0.0,131.686,8.35,4,2,2010,26,0,0,0
3292,24,2010-02-26,1158722.74,203819,33.98,2.91,0.0,0.0,0.0,0.0,0.0,131.686,8.326,4,2,2010,26,0,0,0
3149,23,2010-02-26,1198709.65,114533,32.68,2.753,0.0,0.0,0.0,0.0,0.0,131.686,5.892,4,2,2010,26,0,1,0
3864,28,2010-02-26,1542173.33,206302,50.23,2.825,0.0,0.0,0.0,0.0,0.0,126.5522857,13.975,4,2,2010,26,0,0,0
1576,12,2010-02-26,1048617.17,112238,50.23,2.825,0.0,0.0,0.0,0.0,0.0,126.5522857,13.975,4,2,2010,26,0,1,0
4865,35,2010-02-26,1020651.74,103681,36.0,2.754,0.0,0.0,0.0,0.0,0.0,135.5195191,9.262,4,2,2010,26,0,1,0
4150,30,2010-02-26,472330.71,42988,45.31,2.561,0.0,0.0,0.0,0.0,0.0,210.9759573,8.324,4,2,2010,26,0,0,1
2291,17,2010-02-26,749549.55,93188,15.64,2.667,0.0,0.0,0.0,0.0,0.0,126.5522857,6.548,4,2,2010,26,0,1,0
861,7,2010-02-26,496083.24,70713,24.91,2.586,0.0,0.0,0.0,0.0,0.0,189.6018023,9.014,4,2,2010,26,0,1,0
5866,42,2010-02-26,491510.58,39690,52.77,2.825,0.0,0.0,0.0,0.0,0.0,126.5522857,9.765,4,2,2010,26,0,0,1
2148,16,2010-02-26,443242.17,57197,18.12,2.586,0.0,0.0,0.0,0.0,0.0,189.6018023,7.039,4,2,2010,26,0,1,0
5723,41,2010-02-26,991941.73,196321,21.84,2.586,0.0,0.0,0.0,0.0,0.0,189.6018023,7.541,4,2,2010,26,0,0,0
2720,20,2010-02-26,1898193.95,203742,32.32,2.754,0.0,0.0,0.0,0.0,0.0,204.4630869,8.187,4,2,2010,26,0,0,0
3,1,2010-02-26,1409727.59,151315,46.63,2.561,0.0,0.0,0.0,0.0,0.0,211.3196429,8.106,4,2,2010,26,0,0,0
3721,27,2010-02-26,1390934.27,204184,36.0,2.91,0.0,0.0,0.0,0.0,0.0,135.5195191,8.237,4,2,2010,26,0,0,0
2434,18,2010-02-26,1068157.45,120653,35.42,2.753,0.0,0.0,0.0,0.0,0.0,131.686,9.202,4,2,2010,26,0,1,0
4007,29,2010-02-26,488417.61,93638,35.98,2.753,0.0,0.0,0.0,0.0,0.0,131.686,10.064,4,2,2010,26,0,1,0
6295,45,2010-02-26,741891.65,118221,34.89,2.754,0.0,0.0,0.0,0.0,0.0,182.0774691,8.992,4,2,2010,26,0,1,0
146,2,2010-02-26,1865097.27,202307,46.1,2.561,0.0,0.0,0.0,0.0,0.0,210.9759573,8.324,4,2,2010,26,0,0,0
1863,14,2010-03-05,2237544.75,200898,37.13,2.777,0.0,0.0,0.0,0.0,0.0,182.1201566,8.992,4,3,2010,5,0,0,0
3293,24,2010-03-05,1412387.3699999999,203819,36.73,2.919,0.0,0.0,0.0,0.0,0.0,131.735,8.326,4,3,2010,5,0,0,0
4,1,2010-03-05,1554806.68,151315,46.5,2.625,0.0,0.0,0.0,0.0,0.0,211.3501429,8.106,4,3,2010,5,0,0,0
1148,9,2010-03-05,507297.88,125833,48.43,2.625,0.0,0.0,0.0,0.0,0.0,214.9054721,6.415,4,3,2010,5,0,1,0
3007,22,2010-03-05,1009201.24,119557,36.82,2.766,0.0,0.0,0.0,0.0,0.0,135.5732602,8.283,4,3,2010,5,0,1,0
3150,23,2010-03-05,1311175.93,114533,33.15,2.766,0.0,0.0,0.0,0.0,0.0,131.735,5.892,4,3,2010,5,0,1,0
3865,28,2010-03-05,1608435.45,206302,53.77,2.987,0.0,0.0,0.0,0.0,0.0,126.5782857,13.975,4,3,2010,5,0,0,0
